Watching for file changes with StatReloader
[05/Jun/2019 20:19:36] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
[05/Jun/2019 20:19:36] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
[05/Jun/2019 20:19:37] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
[05/Jun/2019 20:19:37] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
[05/Jun/2019 20:19:43] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[05/Jun/2019 20:19:43] "GET /admin/Offer/ HTTP/1.1" 200 6334
[05/Jun/2019 20:19:43] "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
[05/Jun/2019 20:19:44] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
[05/Jun/2019 20:19:44] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
[05/Jun/2019 20:19:47] "GET /admin/Offer/buyplan/ HTTP/1.1" 200 5313
[05/Jun/2019 20:19:47] "GET /admin/jsi18n/ HTTP/1.1" 200 3223
[05/Jun/2019 20:19:50] "GET /admin/Offer/buyplan/add/ HTTP/1.1" 200 16260
[05/Jun/2019 20:19:50] "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[05/Jun/2019 20:19:50] "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
[05/Jun/2019 20:19:50] "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
[05/Jun/2019 20:19:50] "GET /admin/jsi18n/ HTTP/1.1" 200 3223
[05/Jun/2019 20:19:50] "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
[05/Jun/2019 20:19:51] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
[05/Jun/2019 20:19:51] "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[05/Jun/2019 20:19:52] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
[05/Jun/2019 20:19:52] "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
[05/Jun/2019 20:23:15] "GET /admin/Offer/buyplan/ HTTP/1.1" 200 5313
[05/Jun/2019 20:23:16] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[05/Jun/2019 20:23:16] "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[05/Jun/2019 20:23:16] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[05/Jun/2019 20:23:16] "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[05/Jun/2019 20:23:16] "GET /admin/jsi18n/ HTTP/1.1" 200 3223
[05/Jun/2019 20:23:17] "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
[05/Jun/2019 20:23:18] "GET /static/admin/js/core.js HTTP/1.1" 304 0
[05/Jun/2019 20:23:18] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[05/Jun/2019 20:23:18] "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[05/Jun/2019 20:23:19] "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
[05/Jun/2019 20:23:19] "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[05/Jun/2019 20:23:19] "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[05/Jun/2019 20:23:19] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[05/Jun/2019 20:23:20] "GET /static/admin/img/search.svg HTTP/1.1" 304 0
[05/Jun/2019 20:23:21] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
[05/Jun/2019 20:23:21] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
[05/Jun/2019 20:23:21] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
[05/Jun/2019 20:23:21] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
[05/Jun/2019 20:23:24] "GET /admin/Offer/buyplan/3/change/ HTTP/1.1" 200 16740
[05/Jun/2019 20:23:24] "GET /admin/jsi18n/ HTTP/1.1" 200 3223
[05/Jun/2019 20:23:31] "GET /admin/Offer/buyplan/ HTTP/1.1" 200 5313
[05/Jun/2019 20:23:34] "GET /admin/Offer/buyplan/add/ HTTP/1.1" 200 16260
[05/Jun/2019 20:23:35] "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
[05/Jun/2019 20:23:35] "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
[05/Jun/2019 20:23:35] "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[05/Jun/2019 20:23:35] "GET /admin/jsi18n/ HTTP/1.1" 200 3223
[05/Jun/2019 20:23:35] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
[05/Jun/2019 20:23:36] "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
[05/Jun/2019 20:23:36] "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[05/Jun/2019 20:23:38] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
[05/Jun/2019 20:23:38] "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
[05/Jun/2019 20:29:15] "POST /admin/Offer/buyplan/add/ HTTP/1.1" 302 0
[05/Jun/2019 20:29:17] "GET /admin/Offer/buyplan/ HTTP/1.1" 200 5905
[05/Jun/2019 20:29:18] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[05/Jun/2019 20:29:18] "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[05/Jun/2019 20:29:18] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
